ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id
,2344339,0,11852,1.000000000000000,300 SOUTH ST,0,20,2143495,SANBORN,48307,60718,0,,1973,961.542071682894971,31,68-15-14-176-007,52319.467388688251958,2230
,2346981,0,11909,2.000000000000000,280 MILL ST,0,24,2143491,SANBORN,48307,4846,0,,2005,211.471057926957371,23,68-15-14-156-001,2422.861431875641756,2230
,2350430,0,11962,1.000000000000000,500 E 2ND ST,0,19,2143443,SANBORN,48307,33973,0,,1970,893.375039593196334,61,68-15-14-128-005,36253.452415012470738,2230
,2351345,0,11986,1.000000000000000,345 JOHN R RD,0,14,2143563,SANBORN,48307,1900,0,,0,258.604068254145147,61,68-15-14-276-013,1940.242393951801887,2230
,2590034,0,13719,1.000000000000000,3401 LAPEER RD W,0,10,2001469,SANBORN,48326,7700,0,,1980,597.350765969810709,33,02-14-11-126-004,7716.314110926832655,2220
,2494371,0,14738,1.000000000000000,501 STEPHENSON,0,16,2237854,SANBORN,48083,41300,0,,1964,1178.565561465863084,31,88-20-35-326-005,41259.645151116688794,2270
,2495140,0,14751,4.000000000000000,550 STEPHENSON,0,49,2237860,SANBORN,48083,75600,0,,1974,589.545167232826543,23,88-20-35-327-015,19500.558157999996183,2270
,2496916,0,14788,1.000000000000000,2820-2826 INDUSTRIAL ROW DR,0,17,2237322,SANBORN,48084,9960,0,,1965,448.652135412240568,31,88-20-32-151-007,10152.712550041420400,2270
,2498853,0,14843,2.000000000000000,800 STEPHENSON HWY,0,26,2237648,SANBORN,48083,50280,0,,1979,785.590527098429789,23,88-20-35-126-006,26217.665220427661552,2270
,2500005,0,14869,1.000000000000000,1161 RANKIN DR,0,18,2237589,SANBORN,48083,10193,0,,1987,425.266845865300581,31,88-20-34-227-043,10264.693489416493321,2270
,2503722,0,14957,1.000000000000000,1985 RING,0,21,2237694,SANBORN,48083,20378,0,,1986,633.775177797380707,31,88-20-35-226-089,21345.474890703251731,2270
,2505395,0,14991,1.000000000000000,1880 E MAPLE RD,0,19,2237678,SANBORN,48083,25600,0,,1972,874.251401654541951,31,88-20-35-226-020,26388.746466423486709,2270
,2506128,0,15004,1.000000000000000,1489 E MAPLE RD,0,15,2234941,SANBORN,48083,1156,0,,1987,344.277288723760762,21,88-20-26-351-017,4858.141881309804376,2270
,2506228,0,15006,1.000000000000000,1731 THORNCROFT DR,0,23,2236711,SANBORN,48084,38358,0,,1986,900.747118900814485,32,88-20-29-426-032,38822.646436166134663,2270
,2522256,0,15022,2.000000000000000,3200 LIVERNOIS RD,0,20,2464611,SANBORN,48083,14600,0,,0,470.420890273243913,13,88-20-22-351-019,7303.813187060402015,2270
,2507733,0,15028,1.000000000000000,1821 MAPLELAWN DR,0,18,2236708,SANBORN,48084,20540,0,,1968,722.182823275786291,21,88-20-29-426-027,21006.417228219874232,2270
,2508343,0,15048,1.000000000000000,1966 HEIDE ST,0,21,2236481,SANBORN,48084,16950,0,,1970,570.690114555095306,31,88-20-28-451-002,17459.781590570124536,2270
,2513064,0,15148,1.000000000000000,374 OLIVER,0,18,2236336,SANBORN,48084,5050,0,,1972,323.767204043070592,31,88-20-28-401-066,5390.615967410753910,2270
,2519551,0,15294,1.000000000000000,1551 W BIG BEAVER RD,0,14,2236628,SANBORN,48084,4200,0,,1973,260.568879227081368,51,88-20-29-226-047,4152.085871355770905,2270
,2521565,0,15317,1.000000000000000,2039 E BIG BEAVER RD,0,11,2232692,SANBORN,48083,2350,0,,1991,194.934296029318915,21,88-20-24-352-034,2371.764660768904832,2270
,2553578,0,16267,1.000000000000000,2800 CENTERPOINT PKWY,0,29,2139021,SANBORN,48341,19861,0,,1998,563.862889592559441,23,64-19-03-176-004,19419.238859675635467,2215
,2938429,0,16494,,187 PREMIER DR,0,,2340537,NEARMAP,48359,122000,0,,2020,1607.605875161941867,31,O -09-35-476-002,124662.094390129757812,2190
,2576082,0,16726,1.000000000000000,910 N OPDYKE RD,0,13,2002983,SANBORN,48326,3231,0,,1996,271.311174566417662,65,02-14-23-352-010,3531.436513595248925,2220
,2594526,0,17129,1.000000000000000,2705 COMMERCE PKWY,0,28,2000545,SANBORN,48326,172412,0,,2005,1805.521406282392945,31,02-14-02-200-030,175910.695286020782078,2220
,2900269,0,17234,1.000000000000000,200 W 5TH AVE,0,21,2184435,SANBORN,48067,3400,0,,1919,207.046323526179265,21,72-25-21-237-007,2015.349071139114585,2240
,2900702,0,17241,1.000000000000000,32714 TOWNLEY ST,0,16,2076854,SANBORN,48071,2800,0,,1966,262.625901435432183,31,44-25-01-102-005,2889.371456897427834,2150
,2900810,0,17243,4.000000000000000,20500 CIVIC CENTER DR,0,51,2198257,SANBORN,48076,110300,0,,1967,666.913394636542421,23,76-24-22-201-019,27584.644633426418295,2250
,2901775,0,17264,2.000000000000000,404 S MAIN ST,0,24,2143365,SANBORN,48307,14700,0,,1899,457.038477986828354,21,68-15-14-101-009,6013.635782047605971,2230
,2901798,0,17265,2.000000000000000,113 E UNIVERSITY DR,0,16,2142325,SANBORN,48307,3600,0,,1901,210.192503354255678,21,68-15-11-352-016,2189.198569766931087,2230
,2901824,0,17266,1.000000000000000,8700 CAPITAL AVE,0,15,2113374,SANBORN,48237,13520,0,,1967,491.314415176821797,31,52-25-33-151-026,14607.079200207012036,2180
,2901842,0,17268,1.000000000000000,12751 CAPITAL AVE,0,14,2112701,SANBORN,48237,11732,0,,1954,532.755296661329112,31,52-25-32-177-030,12452.621093992187525,2180
,2901911,0,17269,1.000000000000000,22011 COOLIDGE HWY,0,13,2111475,SANBORN,48237,3100,0,,1975,223.418071529318667,21,52-25-31-228-044,2851.870146014597594,2180
,2902236,0,17276,1.000000000000000,119-121 N SAGINAW ST,0,18,2131613,SANBORN,48342,4608,0,,1920,311.925270721400580,21,64-14-29-410-020,4686.790531881410971,2215
,2923416,0,17514,1.000000000000000,140 N CROOKS RD,0,15,2458036,SANBORN,48017,11699,0,,2012,462.255176079905993,14,16-20-33-354-055,12053.420409278318402,2055
,2938641,0,17846,1.000000000000000,20725 WYOMING ST,0,14,2353231,SEMCOG,48220,4376,0,,1946,265.516026036148617,21,S -25-32-476-035,4434.544173689041600,2245
,2938688,0,17848,1.000000000000000,23043 DEQUINDRE RD,0,13,2065817,SEMCOG,48030,1957,0,,1963,176.938059148837567,33,28-25-25-479-022,1954.474501103516104,2090
,2938691,0,17849,1.000000000000000,2805 W MAPLE RD,0,13,2237287,SEMCOG,48084,3532,0,,1966,269.689433425420020,65,88-20-32-101-008,3706.276671839802020,2270
,2939195,0,18130,1.000000000000000,23157 WOODWARD AVE,0,,2457842,NEARMAP,48220,8400,0,,2014,378.831640349877944,21,24-25-27-352-027,8406.445462979467266,2075
,2901138,0,18223,1.000000000000000,23158 WOODWARD AVE,0,12,2056476,SANBORN,48220,1350,0,,1970,140.845759881532899,65,24-25-27-379-001,1056.917173862125537,2075
,2003670,0,18392,1.000000000000000,26300 W 8 MILE RD,0,14,2205030,SANBORN,48033,11115,0,,1955,648.324684339186547,31,76-24-31-452-011,11426.778109360036979,2250
