ref_name,building_i,res_sqft,gid,stories,address,gqcap,median_hgt,parcel_id,source,zipcode,nonres_sqf,housing_un,demolished,year_built,SHAPE__Len,build_type,apn,SHAPE__Are,city_id,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
,1386342,0,418150,1.000000000000000,"14100 WOODWARD AVE",0,18.000000000000000,1435355,SANBORN,48203,34400,0,,1995,1000.345219101533189,31,"43 002 04 0001 324",34443.929237999102043,1100,42.410309,-83.089978,1,rooftop,14100,"Woodward Ave",,,"Highland Park",MI,"Wayne County",48203,US,Semcog
,1489202,0,419742,1.000000000000000,"11895 WAYNE RD",0,23.000000000000000,1406570,SANBORN,48174,49402,0,,1992,1514.216527966721287,33,"80 082 04 0001 000",39819.934674688796804,1170,42.216826,-83.382003,1,rooftop,11895,"Wayne Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1491038,0,419782,1.000000000000000,"35427 GODDARD RD",0,16.000000000000000,1405849,SANBORN,48174,2520,0,,1997,243.272993195154044,21,"80 077 08 0047 001",2769.859098582780462,1170,42.222684,-83.385854,1,rooftop,35427,"Goddard Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1492708,0,419816,1.000000000000000,"28900 GODDARD RD",0,27.000000000000000,1404208,SANBORN,48174,49852,0,,1968,1039.081352118248105,31,"80 051 99 0019 702",50165.030896620817657,1170,42.22537,-83.32196,1,rooftop,28900,"Goddard Rd",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1494257,0,419838,3.000000000000000,"601 ROGELL DR",0,39.000000000000000,1404249,SANBORN,48174,923100,0,,2008,7516.889198485858287,41,"80 053 99 0001 700",437416.442669421783648,1170,42.225656,-83.34844,0.9,rooftop,601,"Rogell Dr",,,Detroit,MI,"Wayne County",48242,US,Semcog
,1504289,0,419995,3.000000000000000,"28470 CITRIN DR",0,37.000000000000000,1404016,SANBORN,48174,80600,0,,2002,882.820245211007318,33,"80 047 99 0024 703",26850.339300253253896,1170,42.243307,-83.316222,1,rooftop,28470,"Citrin Dr",,,Romulus,MI,"Wayne County",48174,US,Semcog
,1635622,0,422132,1.000000000000000,"2660 FISHER ST",0,10.000000000000000,1442388,SANBORN,48122,1800,0,,0,259.389670599019325,41,"47 002 02 0001 000",1804.000658751317587,1125,42.277219,-83.174341,1,rooftop,2660,"Fisher St",,,Melvindale,MI,"Wayne County",48122,US,Semcog
,1900964,0,422187,1.000000000000000,"26361 8 MILE RD",0,13.000000000000000,1378790,SANBORN,48240,2400,0,,1956,210.747928159589293,21,"79 003 01 0795 000",2621.923534310610648,1150,42.441898,-83.303963,1,rooftop,26361,"8 Mile Rd",,,Redford,MI,"Wayne County",48240,US,Wayne
,1901460,0,422196,1.000000000000000,"26927 8 MILE RD",0,12.000000000000000,1379671,SANBORN,48240,1040,0,,1961,140.402240521116909,23,"79 004 01 1331 001",981.045651789220301,1150,42.441738,-83.31119,1,rooftop,26927,"8 Mile Rd",,,Redford,MI,"Wayne County",48240,US,Wayne
,1902239,0,422212,1.000000000000000,"15021 S COMMERCE DR",0,15.000000000000000,1046684,SANBORN,48120,55400,0,,1988,1248.740801751406480,23,"82 10 194 02 012",55421.052343658506288,1025,42.306935,-83.180591,1,rooftop,15021,"S Commerce Dr",,,Dearborn,MI,"Wayne County",48120,US,Semcog
